Address,City,CustomerID,CustomerFirstName,CustomerLastName,SquareFootage,SquareMeters,Acreage,AskingPrice,SalePrice,SaleDate
46755 Ivy Court,"Covington, KY",638,shyanne,peters,"2,914",271,11.4,1300814.56,1179188.39,8/3/2020
62995 York Road,"Lexington, KY",767,brylee,munoz,"2,569",239,0.8,358786.73,322441.64,8/1/2020
64260 Jones Street,"Louieville, KY",544,taniya,mason,"1,871",174,0.3,289159.33,253563.82,7/9/2020
23305 12th Street East,"Nicholasville, KY",373,salma,petersen,"1,003",93,0.6,137252.5,134603.53,7/10/2020
33007 School Street,"Louieville, KY",214,nadia,gibbs,"1,463",136,1,260573.37,246762.98,7/7/2020
19600 Victoria Court,"Frankfort, KY",298,reid,munoz,"2,236",208,0.4,325551.4,293159.04,7/10/2020
98357 Hillcrest Avenue,"Florence, KY",171,ryland,mason,"1,928",179,0.2,273503.4,235623.18,9/25/2020
38163 Mechanic Street,"Florence, KY",419,josue,stevenson,"2,642",245,0.2,330022.43,302003.53,7/31/2020
64073 4th Street North,"Erlanger, KY",779,salma,casey,"1,989",185,0.4,284424.97,263661.95,9/27/2020
64103 Overlook Circle,"Covington, KY",17,carly,stevenson,"1,927",179,0.2,303579.32,257678.13,9/19/2020
30007 Franklin Street,"Nicholasville, KY",608,pamela,petersen,"1,376",128,0.4,199845.65,187894.88,7/6/2020
63872 Heritage Drive,"Louieville, KY",236,efrain,bernard,"7,079",658,0.6,990964.86,939335.59,9/29/2020
99991 Route 64,"Louieville, KY",501,abram,mora,"7,622",708,0.8,855906.95,720673.65,8/1/2020
30874 Market Street,"St. Matthews, KY",404,laila,roy,"1,621",151,0.2,231073.64,219519.96,9/20/2020
51434 Route 100,"St. Matthews, KY",173,brylee,petersen,"2,770",257,0.1,321416.1,316723.42,7/5/2020
12259 12th Street,"St. Matthews, KY",742,abram,vang,"1,683",156,5.1,565663.99,528613,8/5/2020
20498 Sycamore Lane,"Covington, KY",284,samara,lucero,"2,513",233,0.4,318506.22,309396.94,8/6/2020
77674 Locust Street,"Erlanger, KY",761,brylee,george,"1,178",109,0.2,133626.43,128909.42,9/17/2020
27674 Beechwood Drive,"Covington, KY",345,leandro,vang,"2,804",260,0.8,462126.93,437218.29,8/25/2020
40457 Henry Street,"Jeffersontown, KY",410,salma,boyd,"1,942",180,0.7,276947.83,237316.59,8/11/2020
87720 Route 10,"Florence, KY",550,jaliyah,coleman,"3,877",360,0.7,446526.08,357220.86,7/4/2020
11434 Smith Street,"Louieville, KY",623,salma,hutchinson,"1,212",113,0.6,164957.85,155588.24,8/2/2020
96290 Sunset Avenue,"Lexington, KY",661,triston,hanson,"2,496",232,0.3,288328.74,286771.76,8/6/2020
65038 2nd Street,"Nicholasville, KY",64,esperanza,galloway,"2,716",252,0.3,373451.73,317620.7,9/4/2020
50946 Deerfield Drive,"Louieville, KY",147,abram,copeland,"1,388",129,0.1,208464.21,176006.33,8/16/2020
86483 Evergreen Lane,"Jeffersontown, KY",285,efrain,boyd,"2,309",215,0.2,286662.81,239564.11,9/27/2020
45617 Race Street,"Lexington, KY",352,reid,combs,"7,724",718,27.4,3230046.18,3194515.68,8/27/2020
26118 Eagle Street,"Richmond, KY",258,skyler,peters,"1,835",170,17.5,1345722.06,1133367.12,9/1/2020
78096 Penn Street,"Jeffersontown, KY",118,ryland,ray,"2,960",275,0.8,504637.1,488488.71,9/26/2020
92633 Railroad Street,"Lexington, KY",590,pamela,ray,"2,821",262,3.9,666643.94,541914.86,8/30/2020
83206 Willow Lane,"St. Matthews, KY",526,kamari,mcdonald,"2,668",248,21.1,1429285.07,1174443.54,7/18/2020
48725 Lakeview Drive,"Louieville, KY",193,pamela,hanson,"1,286",119,0.9,250257.17,208314.07,7/14/2020
54284 Myrtle Avenue,"Florence, KY",202,pamela,boyd,"6,239",580,0.8,765035.99,737724.2,8/10/2020
77166 Main Street South,"Jeffersontown, KY",441,pamela,briggs,"1,572",146,0.2,186690.82,185682.69,8/24/2020
81619 Charles Street,"Jeffersontown, KY",9,dax,hanson,"2,966",276,0.2,314982.56,314699.07,8/20/2020
60868 Grant Avenue,"St. Matthews, KY",266,skyler,vincent,"1,604",149,0.4,204987.35,169381.05,7/27/2020
67748 Washington Avenue,"Covington, KY",348,anderson,coleman,"9,653",897,5.7,1368661.29,1169794.8,8/12/2020
59765 Spring Street,"Nicholasville, KY",725,salma,mora,"8,957",832,0.5,1167454.23,966885.59,9/13/2020
96397 Jackson Avenue,"Florence, KY",558,fisher,galloway,"6,803",632,0.6,956023.72,866061.88,7/16/2020
26460 Ivy Lane,"Lexington, KY",543,ryland,vincent,"2,164",201,0.2,310579.23,272471.16,8/24/2020
81793 Willow Avenue,"Jeffersontown, KY",533,nadia,ray,"2,146",199,0.5,299388.67,258402.36,7/27/2020
18453 Colonial Avenue,"Covington, KY",239,efrain,lucero,"2,509",233,0.6,385719.02,314283.86,9/4/2020
30057 Bank Street,"St. Matthews, KY",736,thalia,owen,"2,721",253,1,386925.51,346259.64,8/4/2020
76096 Winding Way,"Frankfort, KY",659,leandro,galloway,"1,699",158,0.2,261720.4,220499.43,7/21/2020
86554 Route 20,"St. Matthews, KY",666,taniya,casey,"1,490",138,0.9,212858.37,181248.9,8/27/2020
68798 Williams Street,"Lexington, KY",357,esperanza,george,"1,559",145,0.1,166559.19,141042.32,9/11/2020
39464 Lexington Drive,"Louieville, KY",698,triston,galloway,"2,680",249,0.3,421413.66,376322.4,9/22/2020
72914 Briarwood Court,"St. Matthews, KY",43,brylee,stewart,"1,908",177,0.2,252421.73,216779.78,9/18/2020
36496 Walnut Street,"Lexington, KY",122,nadia,mason,"9,984",928,0.3,1321273.8,1213457.86,7/26/2020
95212 Roosevelt Avenue,"Erlanger, KY",426,fisher,roy,"2,550",237,0.7,417329.38,360739.52,9/25/2020
64916 Route 7,"Georgetown, KY",55,pamela,galloway,"1,188",110,0.5,173610.6,162673.13,8/8/2020
38244 Orchard Street,"Erlanger, KY",276,reid,ray,"2,667",248,0.3,409577.51,332781.73,9/20/2020
78067 8th Street South,"Louieville, KY",19,jaliyah,skinner,"2,543",236,0.3,396236.05,335493.06,8/5/2020
48856 Church Street North,"Jeffersontown, KY",535,taniya,vincent,"2,529",235,0.5,337461.18,310329.3,7/27/2020
95929 Sunset Drive,"Jeffersontown, KY",54,salma,galloway,"2,964",275,0.6,471335.1,469826.83,7/11/2020
88959 Wall Street,"Jeffersontown, KY",287,samara,ray,"2,824",262,0.4,445828,414397.13,8/10/2020
70374 Hamilton Road,"Lexington, KY",586,dax,mason,"5,834",542,0.5,644451.4,574141.75,7/22/2020
60537 Main Street,"Louieville, KY",380,abram,boyd,"1,639",152,0.6,251176.45,217543.92,7/19/2020
47896 Harrison Avenue,"Florence, KY",215,pamela,mcdonald,"9,213",856,0.6,1190175.44,1078179.93,8/21/2020
40596 Madison Avenue,"Louieville, KY",270,mekhi,briggs,"2,338",217,0.5,367515.85,347559.74,7/13/2020
68699 Depot Street,"Georgetown, KY",750,taniya,vang,"2,790",259,0.7,475351.03,402099.43,7/30/2020
66136 Cleveland Avenue,"Jeffersontown, KY",245,mohamed,petersen,"6,535",607,12.5,1522708.79,1241769.02,7/9/2020
42833 Aspen Drive,"Louieville, KY",168,leandro,roy,"1,674",156,0.2,224093.66,223645.47,7/19/2020
82329 Cambridge Drive,"Louieville, KY",680,thalia,mcdonald,"3,874",360,0.7,459459.88,444022.03,7/12/2020
71415 James Street,"Nicholasville, KY",391,pamela,bernard,"1,906",177,0.1,252924.95,229478.8,9/8/2020
73699 Meadow Lane,"Louieville, KY",527,dakota,vincent,"2,893",269,0.5,457568.29,387377.31,7/22/2020
65607 Orchard Avenue,"Erlanger, KY",145,fisher,briggs,"1,901",177,0.7,312357.39,283589.28,7/31/2020
38994 Front Street,"Erlanger, KY",648,salma,george,"2,993",278,14.5,1575643.55,1534361.69,8/20/2020
40640 Edgewood Drive,"Jeffersontown, KY",578,jaliyah,copeland,"1,619",150,0.4,188631.05,179652.21,7/26/2020
11135 Eagle Road,"Lexington, KY",195,kamari,coleman,"2,388",222,0.2,322249.74,258734.32,9/12/2020
67042 Route 5,"Covington, KY",462,efrain,petersen,"2,418",225,0.8,361016.73,338128.26,7/10/2020
56373 5th Street,"Frankfort, KY",220,carly,copeland,"1,392",129,0.9,220041.11,214760.12,8/5/2020
68236 Buckingham Drive,"Frankfort, KY",283,kamari,hanson,"1,691",157,0.8,223519.67,188650.6,9/19/2020
31092 Route 2,"Covington, KY",52,mekhi,george,"8,773",815,0.6,1146214.18,1029185.71,8/21/2020
34307 9th Street West,"Florence, KY",180,ryland,roy,"9,427",876,0.3,1198255.47,1065608.59,7/4/2020
78996 Fairview Road,"St. Matthews, KY",573,nadia,hutchinson,"2,163",201,18.2,1635722.64,1437800.2,8/2/2020
37395 Laurel Street,"St. Matthews, KY",416,shyanne,ray,"1,439",134,0.2,200556.19,166782.52,9/5/2020
79358 Lincoln Street,"Florence, KY",616,anderson,peters,"1,605",149,0.5,187662.58,151931.62,9/11/2020
20990 Elmwood Avenue,"Lexington, KY",444,salma,copeland,"1,554",144,1,264567.77,259382.24,7/8/2020
55417 Clinton Street,"Georgetown, KY",21,denisse,combs,"1,198",111,0.6,212613.65,171281.56,9/5/2020
18517 3rd Avenue,"Lexington, KY",504,ryland,vang,"1,195",111,0.9,196993.15,168704.93,7/10/2020
91524 Brandywine Drive,"Lexington, KY",620,triston,owen,"1,417",132,0.7,241885.67,237410.78,9/21/2020
87851 Hamilton Road,"Jeffersontown, KY",229,nadia,peters,"2,889",268,0.1,358705.25,307087.57,9/23/2020
39602 10th Street,"Covington, KY",355,reid,peters,"1,099",102,0.9,170097.13,168617.29,8/21/2020
83217 Hillside Avenue,"Louieville, KY",218,ryland,hanson,"2,338",217,0.3,293858.17,282221.39,9/2/2020
23361 Grove Street,"Louieville, KY",146,thalia,vincent,"2,055",191,0.3,285969.11,264607.22,7/1/2020
72937 Route 4,"Louieville, KY",129,esperanza,combs,"2,018",187,0.7,241368.02,201300.92,7/2/2020
95005 Spring Street,"Erlanger, KY",66,mohamed,vincent,"1,085",101,0.8,165410.62,142650.12,9/1/2020
20914 North Avenue,"Louieville, KY",467,efrain,owen,"1,395",130,0.9,214217.87,201107.74,9/23/2020
14235 Hanover Court,"Georgetown, KY",89,efrain,banks,"1,610",150,5.3,516569.53,445799.5,7/21/2020
79530 5th Street East,"Louieville, KY",47,abram,gibbs,"2,195",204,0.6,346649.97,327826.88,7/30/2020
13313 Vine Street,"Louieville, KY",62,mohamed,george,"2,066",192,0.9,321517.67,258628.81,9/19/2020
92623 Wall Street,"Covington, KY",81,josue,hanson,"2,101",195,0.9,327451.55,276925.77,8/13/2020
94291 Broad Street,"Jeffersontown, KY",317,dax,skinner,"1,411",131,18.5,1183371,1075802.58,8/15/2020
73405 Bayberry Drive,"Georgetown, KY",379,dakota,lucero,"9,993",928,0.3,1275068.63,1026430.24,8/10/2020
85304 Windsor Drive,"Jeffersontown, KY",141,dakota,petersen,"1,965",183,0.4,238920.84,201983.68,7/9/2020
88135 Aspen Court,"St. Matthews, KY",654,abram,carrillo,"2,239",208,0.9,305885.45,303438.36,9/17/2020
53057 Morris Street,"Jeffersontown, KY",96,brylee,lucero,"1,706",158,0.9,297069.79,271462.38,9/11/2020
34722 Depot Street,"Florence, KY",686,esperanza,copeland,"1,230",114,0.3,200510.1,161911.91,9/9/2020
48980 Durham Road,"Louieville, KY",627,mekhi,stevenson,"2,318",215,0.3,346605.28,335097.98,9/29/2020
14563 Locust Street,"Georgetown, KY",1,samara,briggs,"2,130",198,28.6,2076061.15,1865756.16,7/3/2020
68272 Henry Street,"Florence, KY",263,taniya,roy,"1,027",95,0.4,132961.5,128321.14,7/30/2020
15148 Shady Lane,"Florence, KY",249,salma,peters,"2,367",220,0.8,340072.1,275390.39,8/18/2020
53463 Beechwood Drive,"Lexington, KY",130,thalia,stevenson,"2,860",266,1,475935.55,436813.65,7/13/2020
99448 Route 30,"Frankfort, KY",598,dakota,banks,"2,515",234,3,529531.37,502842.99,8/4/2020
40464 State Street East,"Lexington, KY",568,brylee,skinner,"2,760",256,0.1,326302.92,302743.85,9/20/2020
59104 Virginia Avenue,"Louieville, KY",305,ryland,peters,"3,260",303,1,423877.2,342959.04,8/20/2020
51123 Riverside Drive,"Louieville, KY",273,triston,gibbs,"1,926",179,0.2,227524.66,207138.45,8/22/2020
16677 Creekside Drive,"Lexington, KY",438,abram,vincent,"2,967",276,0.4,416760.38,398006.17,9/14/2020
10897 Elm Avenue,"Covington, KY",370,abram,hutchinson,"1,916",178,0.6,247684.65,210482.42,9/26/2020
58746 Amherst Street,"Frankfort, KY",303,esperanza,peters,"2,189",203,0.6,366447.93,341053.09,7/30/2020
42020 Route 11,"Georgetown, KY",572,jaliyah,vang,"6,641",617,0.6,756109.54,703786.76,9/25/2020
69424 Devon Road,"Erlanger, KY",789,triston,petersen,"2,064",192,0.4,337028.19,321760.81,8/2/2020
72134 Circle Drive,"Louieville, KY",322,beckham,skinner,"2,679",249,0.7,415291.36,393239.38,7/12/2020
69565 Jackson Avenue,"Covington, KY",176,efrain,briggs,"1,917",178,0.5,248622.6,233307.45,8/31/2020
68748 Church Street South,"Florence, KY",183,laila,lucero,"1,271",118,1,223918.15,215969.05,9/10/2020
53845 Smith Street,"Florence, KY",167,leandro,mcdonald,"2,663",247,0.7,356336.4,332034.26,9/26/2020
70381 South Street,"Louieville, KY",665,leandro,briggs,"1,424",132,0.4,238387.69,227803.27,7/11/2020
96366 4th Street South,"Louieville, KY",749,dakota,skinner,"1,598",148,0.9,233666.46,189316.57,7/3/2020
71070 Oak Lane,"Richmond, KY",575,reid,skinner,"2,771",257,0.1,385979.92,325689.85,7/11/2020
27186 13th Street,"Louieville, KY",184,thalia,roy,"1,852",172,0.4,269232.54,242793.9,8/5/2020
55286 Cleveland Street,"Florence, KY",13,brylee,copeland,"3,228",300,0.2,490878.29,393095.33,8/31/2020
31536 Walnut Street,"Jeffersontown, KY",639,mekhi,coleman,"2,420",225,0.8,343176.83,277938.91,8/7/2020
94869 Orchard Avenue,"Louieville, KY",403,beckham,gibbs,"1,495",139,8,766118.06,739533.77,9/22/2020
51207 Bridle Lane,"Lexington, KY",394,skyler,george,"2,683",249,0.9,409188.35,384064.19,9/3/2020
17770 Victoria Court,"St. Matthews, KY",383,skyler,vang,"4,608",428,0.2,478979.04,416424.38,8/13/2020
84964 Tanglewood Drive,"Jeffersontown, KY",473,fisher,gibbs,"1,414",131,0.1,193009.39,179325.02,7/15/2020
51843 Park Avenue,"Louieville, KY",565,reid,coleman,"1,615",150,0.4,230647.98,225965.82,9/20/2020
92092 Franklin Street,"Jeffersontown, KY",272,efrain,munoz,"1,580",147,0.2,197487.58,174184.05,7/16/2020
17331 Cambridge Drive,"Jeffersontown, KY",584,brylee,vincent,"1,415",131,0.7,217740.75,216260.11,9/13/2020
41897 Washington Street,"Covington, KY",329,brylee,vang,"2,213",206,7.1,655961.67,619555.79,9/16/2020
91689 Mill Street,"Jeffersontown, KY",457,taniya,mcdonald,"1,867",173,0.9,327588.46,266591.49,8/8/2020
20820 Parker Street,"St. Matthews, KY",429,efrain,galloway,"1,130",105,0.3,167289.56,136792.67,8/23/2020
50797 Railroad Avenue,"Florence, KY",538,laila,hodge,"2,156",200,0.5,264685.83,236073.29,9/9/2020
27355 Cedar Street,"Erlanger, KY",474,denisse,stewart,"1,037",96,0.3,121718.44,116423.68,7/4/2020
68477 Old York Road,"Florence, KY",593,nadia,briggs,"4,344",404,0.3,452648,370175.53,7/22/2020
18940 Canterbury Court,"Covington, KY",297,samara,combs,"1,355",126,0.3,178536.47,158665.36,9/22/2020
73054 Brown Street,"Florence, KY",327,triston,boyd,"2,407",224,0.9,364051.04,355750.68,8/18/2020
60984 Andover Court,"Georgetown, KY",257,josue,combs,"2,175",202,0.5,250946.32,206202.59,8/31/2020
37249 Cherry Lane,"Louieville, KY",269,shyanne,munoz,"1,868",174,0.6,282190.52,226824.74,9/19/2020
20977 8th Street,"Florence, KY",475,thalia,galloway,"2,746",255,0.4,355826.97,305619.78,8/20/2020
63055 Hawthorne Avenue,"Louieville, KY",711,thalia,banks,"2,784",259,0.5,450621.08,398078.66,7/25/2020
16297 Dogwood Drive,"Florence, KY",27,carly,petersen,"2,965",275,0.7,427465.26,380401.33,8/16/2020
53477 Summit Street,"Georgetown, KY",722,carly,galloway,"2,202",205,0.2,284102.28,241543.76,9/10/2020
51334 Willow Street,"Lexington, KY",337,abram,petersen,"2,641",245,0.9,412687.89,332007.41,9/6/2020
83976 5th Street West,"Lexington, KY",618,samara,galloway,"1,728",161,0.6,234859.63,201509.57,9/23/2020
18158 Adams Street,"Jeffersontown, KY",304,jaliyah,hanson,"2,856",265,0.9,341879.47,336717.09,9/1/2020
13239 Schoolhouse Lane,"Jeffersontown, KY",28,laila,boyd,"1,290",120,0.4,153970.41,148627.64,9/4/2020
76208 Linda Lane,"Florence, KY",787,denisse,bernard,"2,297",213,28.6,2134115.1,2111920.3,8/31/2020
53117 Olive Street,"Georgetown, KY",552,fisher,munoz,"2,614",243,28.7,1983320.96,1587251.77,8/2/2020
97518 Buttonwood Drive,"Louieville, KY",125,mohamed,munoz,"2,437",226,0.3,297325.34,255818.72,9/21/2020
66179 Myrtle Avenue,"Frankfort, KY",196,brylee,hodge,"2,877",267,0.8,447736.14,386082.87,7/10/2020
30846 Crescent Street,"Frankfort, KY",289,brylee,ray,"2,264",210,0.7,293957.37,282257.87,8/19/2020
19603 Inverness Drive,"Lexington, KY",574,abram,combs,"2,490",231,0.6,318911.96,290433.12,8/23/2020
98139 Sycamore Street,"Georgetown, KY",656,josue,hodge,"2,179",202,0.6,345163.62,311406.61,7/13/2020
21249 6th Street North,"Jeffersontown, KY",361,pamela,owen,"5,438",505,0.4,750074,686917.77,7/15/2020
81185 Oxford Court,"Lexington, KY",757,triston,bernard,"2,165",201,0.5,307521.6,285349.29,7/4/2020
54812 Grant Street,"Florence, KY",791,kamari,hodge,"7,675",713,0.4,1184403.3,1121511.49,7/2/2020
18597 Route 10,"Jeffersontown, KY",264,ryland,mora,"2,733",254,0.1,361030.84,295756.46,9/9/2020
50732 12th Street,"St. Matthews, KY",619,denisse,banks,"2,306",214,0.8,324811.9,292817.93,8/2/2020
16986 Glenwood Drive,"Louieville, KY",137,thalia,skinner,"2,065",192,0.6,239093.09,192398.21,9/6/2020
94019 Summit Avenue,"Erlanger, KY",237,reid,lucero,"1,349",125,0.6,244232.04,199073.53,9/13/2020
65893 Division Street,"Jeffersontown, KY",207,pamela,peters,"2,652",246,26.1,1728646.9,1594676.77,7/10/2020
64916 Cross Street,"Covington, KY",223,samara,boyd,"1,718",160,0.7,283071.58,280212.55,9/15/2020
58236 Country Lane,"Louieville, KY",205,shyanne,stevenson,"2,715",252,1,331866.46,284741.43,7/3/2020
63268 North Street,"Jeffersontown, KY",425,laila,combs,"1,614",150,0.5,205946.18,198696.87,8/19/2020
87581 Sunset Avenue,"Covington, KY",10,samara,skinner,"2,484",231,0.1,363879.27,358093.59,9/6/2020
18845 Bridge Street,"Frankfort, KY",540,dax,petersen,"8,660",805,0.2,968720.25,823605.96,7/27/2020
13639 Orchard Street,"Louieville, KY",719,laila,galloway,"2,784",259,0.5,419611.5,405974.13,7/23/2020
49988 Mechanic Street,"Jeffersontown, KY",643,brylee,roy,"1,733",161,25.9,2115855.97,1796573.3,9/28/2020
66791 Route 5,"Louieville, KY",546,skyler,copeland,"1,170",109,1,250598.79,215590.14,8/15/2020
30407 Hawthorne Lane,"St. Matthews, KY",739,anderson,bernard,"3,121",290,29.1,2423598.21,2034125.97,7/22/2020
98400 Lawrence Street,"Jeffersontown, KY",651,kamari,galloway,"2,479",230,0.9,401448.55,332640.27,8/12/2020
89985 Front Street South,"Louieville, KY",716,samara,vang,"1,032",96,11.5,1042965,1036290.02,8/5/2020
58474 6th Street,"St. Matthews, KY",374,beckham,lucero,"1,823",169,0.2,212180.01,181159.3,9/9/2020
