Address,City,CustomerID,CustomerFirstName,CustomerLastName,SquareFootage,SquareMeters,Acreage,AskingPrice,SalePrice,SaleDate
82652 Essex Court,"Louieville, KY",74,mekhi,lucero,"1,768",164,15.5,1285035.17,1047046.66,6/25/2020
49365 Hamilton Street,"Louieville, KY",523,anderson,carrillo,"1,086",101,0.2,133570.94,133477.44,6/30/2020
78079 Buttonwood Drive,"Louieville, KY",642,taniya,lucero,"1,955",182,0.4,322662.41,266422.35,6/13/2020
29206 Lawrence Street,"St. Matthews, KY",454,dax,banks,"2,947",274,0.8,346366.63,325099.72,4/12/2020
29762 Maple Street,"Georgetown, KY",583,abram,skinner,"1,958",182,0.3,230562.64,204555.17,6/29/2020
88654 5th Street East,"Georgetown, KY",308,nadia,lucero,"2,255",209,0.4,256827.59,219253.71,6/18/2020
69954 Devon Court,"Louieville, KY",399,josue,munoz,"2,499",232,0.3,322088.79,268622.05,6/30/2020
34599 B Street,"Lexington, KY",471,nadia,munoz,"1,503",140,0.4,223771.8,200633.8,5/23/2020
52625 Canterbury Court,"Jeffersontown, KY",371,pamela,stevenson,"4,624",430,0.9,521742.12,513915.99,6/25/2020
46566 Route 30,"Lexington, KY",6,reid,owen,"1,064",99,0.9,200696.43,182894.65,5/14/2020
98735 Hill Street,"St. Matthews, KY",349,josue,mora,"2,079",193,0.2,235810.49,233475.97,5/6/2020
34763 6th Avenue,"Covington, KY",153,mekhi,ray,"1,956",182,0.9,357292.86,344823.34,4/6/2020
84223 Mulberry Street,"Richmond, KY",59,beckham,vincent,"1,525",142,0.6,257333.83,235563.39,4/29/2020
85442 State Street East,"Florence, KY",766,pamela,lucero,"1,712",159,0.8,217485.99,174815.24,6/29/2020
45209 Cambridge Road,"Florence, KY",626,fisher,skinner,"7,851",729,0.2,906432.35,734844.7,5/1/2020
91835 Cottage Street,"Louieville, KY",286,josue,ray,"6,030",560,0.4,863119.27,753330.5,4/30/2020
77010 Ridge Street,"Florence, KY",786,laila,ray,"1,221",113,0.6,177350.9,149187.58,6/15/2020
50460 Rose Street,"Frankfort, KY",727,mohamed,hutchinson,"4,747",441,0.2,697431.53,672602.97,5/23/2020
38451 Windsor Drive,"Florence, KY",53,carly,skinner,"2,401",223,0.8,343779.36,322190.02,4/5/2020
47320 Forest Drive,"Louieville, KY",326,reid,briggs,"2,830",263,0.5,427073.74,380608.11,4/7/2020
88417 Andover Court,"Florence, KY",170,mohamed,casey,"2,065",192,0.3,322956.23,301705.71,4/11/2020
62697 7th Street,"Covington, KY",412,nadia,vang,"1,698",158,0.5,291499.71,253342.4,5/31/2020
61870 Oak Lane,"Lexington, KY",309,ryland,boyd,"1,876",174,0.7,248723.15,208504.62,5/11/2020
15249 Summer Street,"Jeffersontown, KY",363,dakota,boyd,"1,788",166,27.2,1838121.75,1791433.46,6/18/2020
50759 Linden Street,"Jeffersontown, KY",676,pamela,hodge,"1,538",143,0.7,265749.9,259690.8,5/23/2020
11375 Maple Lane,"Jeffersontown, KY",330,shyanne,carrillo,"1,246",116,0.6,221666.82,219782.65,6/4/2020
48520 Tanglewood Drive,"Richmond, KY",95,triston,casey,"1,234",115,16.9,1396759.97,1152466.65,5/29/2020
99817 Cobblestone Court,"Jeffersontown, KY",453,mohamed,hanson,"1,196",111,0.5,183226.68,154716.61,6/17/2020
79903 Lantern Lane,"Frankfort, KY",37,esperanza,casey,"9,450",878,0.5,1085739.42,991497.24,4/5/2020
37563 Harrison Street,"Louieville, KY",11,ryland,galloway,"2,240",208,0.4,353427.73,337488.14,6/25/2020
46188 Virginia Street,"Jeffersontown, KY",630,ryland,george,"1,319",123,0.6,183615.38,170450.15,6/12/2020
95621 Academy Street,"Louieville, KY",691,kamari,stevenson,"2,859",266,0.8,470944.88,468778.53,5/26/2020
60495 Grand Avenue,"Covington, KY",582,kamari,petersen,"1,600",149,0.1,194438.46,163522.74,6/10/2020
27567 Heather Lane,"Covington, KY",611,mohamed,briggs,"1,974",183,0.7,256888.16,240884.03,5/2/2020
93618 Clay Street,"Florence, KY",571,abram,peters,"2,861",266,0.5,464162.83,374904.32,4/25/2020
85412 Grove Street,"St. Matthews, KY",69,jaliyah,mason,"1,089",101,0.5,154678.44,142984.75,4/4/2020
87778 Center Street,"Georgetown, KY",685,reid,mason,"9,013",837,0.3,1235576.06,1082488.18,5/17/2020
18935 10th Street,"Frankfort, KY",188,nadia,banks,"2,132",198,0.1,237683.81,193569.69,5/20/2020
94579 Brown Street,"Louieville, KY",461,shyanne,petersen,"2,959",275,0.1,446237.46,430262.16,6/4/2020
86311 Valley View Drive,"Louieville, KY",718,samara,copeland,"1,258",117,0.9,251088.04,230398.39,6/7/2020
10388 Fieldstone Drive,"Jeffersontown, KY",382,fisher,stevenson,"2,386",222,0.9,380467.91,361748.89,4/25/2020
45852 3rd Street West,"Frankfort, KY",134,laila,peters,"2,495",232,0.8,380111.59,364641.05,5/30/2020
98890 Madison Court,"Erlanger, KY",372,denisse,hutchinson,"1,510",140,0.8,268832.6,261520.35,6/20/2020
18140 4th Street,"Florence, KY",77,dax,coleman,"1,921",178,0.5,233543.2,210329,4/12/2020
61048 1st Avenue,"Frankfort, KY",281,fisher,stewart,"2,276",211,0.6,317699.23,300607.01,5/2/2020
60274 Holly Drive,"Louieville, KY",86,jaliyah,bernard,"1,646",153,0.8,279485.55,235857.86,6/14/2020
44179 Cemetery Road,"Louieville, KY",792,pamela,george,"2,291",213,0.6,276062.58,229932.52,6/26/2020
16985 14th Street,"Georgetown, KY",159,mohamed,bernard,"1,130",105,0.7,222456.08,195271.95,6/19/2020
87219 Devon Road,"Erlanger, KY",358,mekhi,casey,"1,654",154,1,324757.83,260845.49,6/14/2020
57274 Pin Oak Drive,"Erlanger, KY",760,savion,munoz,"2,966",276,0.5,402191.17,329917.42,5/1/2020
81355 Pine Street,"Louieville, KY",606,josue,petersen,"2,459",228,0.5,316996.84,264819.16,6/15/2020
27411 2nd Street West,"Florence, KY",783,taniya,gibbs,"2,830",263,25.7,2220934,1916221.86,4/4/2020
63095 Valley Road,"Louieville, KY",796,salma,hanson,"5,479",509,0.6,829267.99,734068.02,4/24/2020
77708 Lincoln Avenue,"St. Matthews, KY",49,dakota,vang,"1,979",184,0.4,261695.48,228303.14,6/26/2020
65201 2nd Avenue,"St. Matthews, KY",795,salma,stewart,"2,623",244,0.2,304732,270602.02,6/7/2020
40065 Laurel Lane,"Florence, KY",775,mohamed,copeland,"1,362",127,0.3,199406.74,159744.74,5/4/2020
23798 Hudson Street,"Louieville, KY",758,josue,peters,"1,953",181,11.7,1193743.69,1049897.58,6/13/2020
46162 Orange Street,"Lexington, KY",104,brylee,galloway,"1,075",100,1,193402.18,191294.09,4/18/2020
95579 Monroe Street,"Louieville, KY",443,jaliyah,hodge,"1,113",103,0.4,153698.32,133041.26,4/5/2020
73719 South Street,"Jeffersontown, KY",187,samara,vincent,"1,253",116,0.7,221948.16,208542.49,6/23/2020
79630 Bridge Street,"Jeffersontown, KY",5,taniya,boyd,"1,668",155,0.3,269879.61,239680.08,6/23/2020
78060 Route 4,"St. Matthews, KY",442,dakota,hutchinson,"2,987",277,0.4,333753.23,327311.79,4/15/2020
21280 Forest Street,"Richmond, KY",92,anderson,boyd,"1,433",133,0.4,208085.07,190293.8,4/17/2020
45769 Taylor Street,"Florence, KY",3,beckham,petersen,"1,913",178,0.4,312056.49,258788.45,5/23/2020
79310 Laurel Lane,"Erlanger, KY",488,josue,copeland,"3,407",317,0.7,508137.95,426022.85,6/13/2020
41520 Prospect Street,"Louieville, KY",25,dakota,stewart,"2,752",256,0.5,314060.27,297917.57,5/2/2020
62200 Devonshire Drive,"Jeffersontown, KY",423,savion,casey,"1,629",151,0.7,238765.85,197196.72,5/23/2020
43576 4th Avenue,"Covington, KY",321,mekhi,vincent,"4,378",407,0.2,658534.51,559820.19,4/18/2020
11215 Magnolia Avenue,"Lexington, KY",585,salma,gibbs,"1,948",181,1,295823.78,291149.76,4/23/2020
76129 Linden Street,"Richmond, KY",764,jaliyah,carrillo,"1,029",96,19,1495327.54,1196710.63,4/20/2020
86012 Overlook Circle,"St. Matthews, KY",401,dakota,briggs,"4,053",377,0.4,493904.8,452021.67,4/28/2020
62063 3rd Street North,"St. Matthews, KY",294,denisse,galloway,"2,889",268,0.7,488972.8,407265.44,5/13/2020
32576 Route 1,"Erlanger, KY",164,jaliyah,peters,"2,220",206,0.7,329773.93,272459.22,4/8/2020
77967 Park Drive,"Louieville, KY",693,samara,roy,"5,070",471,0.4,612509.63,588560.51,4/23/2020
20774 Evergreen Lane,"Louieville, KY",541,taniya,mora,"2,712",252,0.5,326696.3,300103.22,5/19/2020
40539 Woodland Drive,"Florence, KY",599,kamari,stewart,"1,795",167,0.4,208210.77,185078.55,5/13/2020
90809 Pearl Street,"Covington, KY",109,mekhi,mason,"1,166",108,0.3,134901.94,120197.63,4/28/2020
13339 Maiden Lane,"Louieville, KY",233,thalia,carrillo,"2,788",259,0.8,338262.45,331767.81,4/1/2020
74215 5th Street,"St. Matthews, KY",794,efrain,mcdonald,"2,063",192,22.5,2038660.72,1983413.02,5/8/2020
70429 Poplar Street,"Erlanger, KY",390,pamela,coleman,"2,076",193,0.2,303042.96,257434.99,6/12/2020
24825 Arlington Avenue,"St. Matthews, KY",603,carly,roy,"5,226",486,0.5,593214.65,541071.08,6/9/2020
94358 Warren Street,"Louieville, KY",459,savion,carrillo,"1,902",177,9,697461.31,648918,4/4/2020
18392 Queen Street,"Louieville, KY",126,samara,hanson,"2,585",240,0.9,377364.4,337590.19,6/17/2020
58996 Harrison Avenue,"Louieville, KY",343,fisher,coleman,"6,822",634,0.6,898257.28,808341.72,5/5/2020
67516 East Street,"Richmond, KY",555,dax,roy,"5,924",550,0.5,916335.81,880232.18,4/29/2020
14559 Brook Lane,"Covington, KY",605,esperanza,briggs,"2,539",236,0.6,288349.66,267963.34,6/20/2020
38070 Union Street,"Florence, KY",384,denisse,peters,"2,918",271,0.3,455340.6,371375.79,6/20/2020
53834 Atlantic Avenue,"Louieville, KY",333,denisse,mcdonald,"2,516",234,0.6,377259.72,314295.08,4/29/2020
24776 Jefferson Avenue,"Georgetown, KY",417,esperanza,coleman,"1,189",110,26,2162749.85,2056126.28,5/2/2020
89811 Durham Court,"Frankfort, KY",458,esperanza,hanson,"1,095",102,0.4,175005.39,146199.51,6/3/2020
44008 Adams Avenue,"Louieville, KY",560,mohamed,stewart,"2,024",188,0.8,273922.7,234751.75,5/21/2020
91870 Rose Street,"St. Matthews, KY",16,esperanza,petersen,"1,854",172,0.6,261895.53,216639.98,4/22/2020
56259 4th Street West,"Louieville, KY",463,shyanne,boyd,"2,529",235,0.8,331608.33,313767.8,6/3/2020
61839 14th Street,"Georgetown, KY",647,fisher,peters,"1,261",117,0.2,143139.92,139160.63,4/14/2020
26383 Route 32,"Georgetown, KY",340,mekhi,vang,"2,865",266,0.2,306391.18,283350.56,6/11/2020
62733 Hickory Street,"Louieville, KY",511,brylee,gibbs,"1,396",130,0.7,201433.57,161368.43,6/28/2020
22215 Brookside Drive,"Louieville, KY",502,skyler,stewart,"2,071",192,0.2,287016.25,282280.48,5/27/2020
33474 State Street,"Erlanger, KY",131,savion,hanson,"4,468",415,1,542293.88,485624.17,4/20/2020
70472 Cleveland Avenue,"St. Matthews, KY",689,savion,owen,"1,140",106,0.7,185455.69,153186.4,5/29/2020
67130 Cedar Court,"Louieville, KY",524,salma,stevenson,"1,406",131,13,868657.64,803768.91,4/1/2020
75319 Hillside Drive,"Louieville, KY",662,fisher,casey,"6,338",589,0.6,669776.45,591144.69,4/4/2020
12532 Railroad Street,"Richmond, KY",405,esperanza,owen,"2,893",269,0.5,438283.8,395507.3,5/25/2020
86071 Ridge Avenue,"Lexington, KY",299,dax,ray,"1,372",127,0.6,249319.22,203494.35,5/18/2020
98987 Cobblestone Court,"Covington, KY",93,leandro,gibbs,"1,871",174,0.6,254493.22,249683.3,6/2/2020
89569 Fawn Lane,"Erlanger, KY",567,esperanza,stevenson,"2,798",260,0.1,307117.62,303247.94,6/11/2020
29051 Westminster Drive,"Louieville, KY",439,laila,hutchinson,"1,707",159,0.9,253878.64,253624.76,6/1/2020
27065 Walnut Avenue,"Louieville, KY",427,beckham,boyd,"4,738",440,0.9,674051.35,606241.78,5/29/2020
91814 2nd Street East,"St. Matthews, KY",649,reid,mora,"2,868",266,0.4,364930.34,337889,4/5/2020
88391 Mulberry Street,"Lexington, KY",35,denisse,lucero,"1,665",155,0.8,266654.14,251161.53,4/9/2020
43597 Cooper Street,"Erlanger, KY",127,dax,carrillo,"1,090",101,0.8,179575.94,153393.76,4/20/2020
46631 Route 2,"St. Matthews, KY",365,abram,owen,"9,939",923,0.6,1479501.65,1421209.29,4/11/2020
91137 Route 7,"Louieville, KY",793,mekhi,petersen,"1,304",121,0.2,191709.44,158294.48,5/14/2020
92624 9th Street West,"Covington, KY",437,pamela,combs,"4,924",457,1,664380.98,645113.93,5/21/2020
97362 6th Avenue,"Jeffersontown, KY",752,kamari,peters,"2,643",246,0.6,374791.65,331203.38,6/19/2020
17842 Mill Road,"Covington, KY",678,carly,boyd,"3,608",335,0.4,411701.5,330555.13,4/16/2020
41587 Fairview Avenue,"St. Matthews, KY",645,carly,mora,"2,654",247,0.9,427895.58,388914.29,6/14/2020
53656 Valley Drive,"Lexington, KY",436,laila,mcdonald,"1,063",99,0.8,214033.05,179530.92,6/26/2020
48822 College Avenue,"Jeffersontown, KY",94,mohamed,coleman,"1,011",94,0.2,112482.62,99490.88,5/26/2020
36317 Orchard Lane,"Covington, KY",243,mekhi,skinner,"1,720",160,0.5,274738.13,223004.94,6/15/2020
78066 Fairway Drive,"Louieville, KY",70,samara,stevenson,"1,712",159,0.8,218440.97,211145.04,5/29/2020
82912 7th Street,"Jeffersontown, KY",708,abram,briggs,"1,858",173,0.4,309947,283322.55,4/5/2020
51569 Dogwood Lane,"Lexington, KY",687,taniya,bernard,"2,944",274,0.2,358030.88,326273.54,4/28/2020
88413 George Street,"Louieville, KY",660,mekhi,combs,"5,071",471,0.6,731159.58,715732.11,4/18/2020
79547 Ridge Road,"Georgetown, KY",536,samara,petersen,"2,527",235,0.8,360229.22,290236.68,4/29/2020
58260 1st Street,"Frankfort, KY",33,taniya,petersen,"1,392",129,0.4,214341.12,178160.34,4/2/2020
44598 Maple Street,"Lexington, KY",762,josue,bernard,"1,768",164,0.2,277787.9,232119.57,4/11/2020
65198 Jones Street,"Louieville, KY",331,denisse,hodge,"2,342",218,0.7,391640.25,331288.49,6/25/2020
60739 Valley View Road,"Frankfort, KY",151,samara,carrillo,"1,428",133,0.9,233820.3,211443.7,4/8/2020
50831 Lake Avenue,"Georgetown, KY",496,shyanne,copeland,"8,744",812,0.7,1348996.65,1291664.3,5/31/2020
13708 8th Avenue,"Richmond, KY",446,dakota,carrillo,"2,384",221,0.2,330161.52,291301.51,4/16/2020
85982 Magnolia Court,"Jeffersontown, KY",318,thalia,george,"3,130",291,0.3,334439.1,281363.61,5/3/2020
21539 Bank Street,"Georgetown, KY",530,mohamed,galloway,"1,066",99,0.9,221055.32,190350.73,6/6/2020
12472 Main Street,"Jeffersontown, KY",359,pamela,copeland,"7,202",669,0.6,815044.93,788637.48,4/10/2020
53833 Lincoln Avenue,"Lexington, KY",256,kamari,combs,"1,629",151,0.9,217585.12,203529.13,5/7/2020
20007 Meadow Street,"Louieville, KY",650,pamela,vincent,"1,505",140,0.7,236934.58,227291.34,5/10/2020
79457 Edgewood Road,"Covington, KY",165,mekhi,mcdonald,"2,675",249,0.8,328744.25,296264.32,6/2/2020
22218 Washington Avenue,"Georgetown, KY",499,denisse,coleman,"2,303",214,0.9,300635.37,296516.67,6/3/2020
59726 2nd Street North,"Louieville, KY",744,kamari,george,"1,331",124,0.3,154361.64,138431.52,4/16/2020
26680 Cypress Court,"Louieville, KY",311,reid,bernard,"2,636",245,15.2,1295164.65,1198286.33,5/2/2020
37102 Cedar Lane,"Louieville, KY",277,leandro,stewart,"3,000",279,0.9,470237.2,434028.94,5/23/2020
78080 Country Club Road,"Jeffersontown, KY",217,dax,combs,"2,696",250,0.2,342002.78,277706.26,5/18/2020
13960 Broad Street West,"Frankfort, KY",260,abram,casey,"1,857",173,0.1,233225.31,232805.5,4/17/2020
61210 12th Street East,"Louieville, KY",279,salma,combs,"1,789",166,0.8,286329.76,283094.24,6/24/2020
81946 Orange Street,"Erlanger, KY",149,kamari,owen,"2,071",192,0.9,356937.3,329631.59,5/24/2020
21011 Jackson Street,"Erlanger, KY",669,taniya,banks,"1,426",132,21.4,1380331.49,1319734.93,5/10/2020
18073 Briarwood Drive,"Georgetown, KY",776,ryland,casey,"4,596",427,0.9,686358.58,618752.26,4/18/2020
69086 Pin Oak Drive,"Louieville, KY",335,abram,ray,"1,699",158,0.7,299620.81,264774.91,4/20/2020
69398 7th Avenue,"Louieville, KY",483,savion,george,"2,148",200,1,322694.72,320629.48,5/5/2020
87390 Market Street,"Georgetown, KY",312,reid,boyd,"2,111",196,0.8,376407.17,316031.46,5/23/2020
31063 Aspen Drive,"Richmond, KY",699,brylee,mora,"1,698",158,0.6,268635.27,264068.47,6/28/2020
29300 Howard Street,"Jeffersontown, KY",83,skyler,mason,"1,154",107,0.7,174504.94,141296.65,4/25/2020
10723 Central Avenue,"Florence, KY",456,thalia,boyd,"2,968",276,0.6,445051.53,424178.62,5/27/2020
51863 Main Street West,"Lexington, KY",720,skyler,casey,"2,660",247,1.5,373473.1,328768.37,5/4/2020
61549 Prospect Avenue,"Covington, KY",472,savion,briggs,"1,529",142,0.5,198854.72,169662.85,6/29/2020
14882 Clay Street,"Jeffersontown, KY",247,ryland,stewart,"2,401",223,11.9,1170818.25,1065093.36,5/22/2020
10180 Cherry Street,"Georgetown, KY",469,dax,briggs,"2,836",263,0.4,405047.37,397472.98,4/15/2020
77841 Oak Street,"Florence, KY",250,beckham,briggs,"1,512",140,0.7,231394.16,190344.84,6/27/2020
45758 Monroe Drive,"Lexington, KY",782,laila,casey,"6,448",599,0.2,759892.8,621440.33,6/14/2020
10030 Grant Avenue,"Nicholasville, KY",288,pamela,mora,"8,826",820,0.7,1363456.19,1110671.41,6/6/2020
98133 Carriage Drive,"Louieville, KY",84,mekhi,boyd,"1,684",156,0.5,229389.09,228930.31,4/27/2020
